| 201 | LÊ XUÂN TUNG - LÊ XUÂN TÙNG | Hai nghệ nhân đầu tiên dùng bột tò he kết hợp với xích và ốc vít để biểu diễn vẽ tranh trên sân khấu | 12/2020 | Cần rà soát GAB | 12/2020 |
| 202 | LÊ YẾN QUYÊN | Đôi nam nữ duy nhất ở Việt Nam múa lân trên cột có chiều cao 7m | 08/2018 | Cần rà soát GAB | 08/2018 |
| 202 | LÊ YẾN QUYÊN | Nữ vận động viên duy nhất Việt Nam múa lân trên cột cao 7m | 10/2008 | Cần rà soát GAB | 10/2008 |
| 203 | LƯ NHẤT VŨ (1936 - 2025) | Xác lập Kỷ lục Việt Nam: "Đôi nghệ sĩ có nhiều công trình nghiên cứu về dân ca Nam bộ nhất Việt Nam" | 01/2009 | Cần rà soát GAB | 01/2009 |
| 204 | LƯU VĂN DỰ | Nghệ sĩ khuyết tật đánh đàn bằng răng duy nhất ở VN | 01/2009 | Cần rà soát GAB | 01/2009 |
| 205 | LÝ HUỲNH (1942 - 2020) | Xác lập Kỷ lục Việt Nam: " Bộ phim truyện nhựa thể loại dã sử võ hiệp được đầu tư dàn dựng lớn nhất Việt Nam." | 01/2010 | Cần rà soát GAB | 01/2010 |
| 205 | LÝ HUỲNH (1942 - 2020) | Xác lập Kỷ lục Việt Nam: Nhà sản xuất phim tư nhân đầu tiên thực hiện sản xuất phim nhiều nhất | 10/2011 | Cần rà soát GAB | 10/2011 |
| 205 | LÝ HUỲNH (1942 - 2020) | Xác lập Kỷ lục Việt Nam: Võ sư chỉ đạo võ thuật điện ảnh nhiều bộ phim nhất | 09/2013 | Cần rà soát GAB | 09/2013 |
| 205 | LÝ HUỲNH (1942 - 2020) | Xác lập Kỷ lục Việt Nam: " Bộ phim truyện nhựa thể loại dã sử võ hiệp được đầu tư dàn dựng lớn nhất Việt Nam." | 01/2010 | Cần rà soát GAB | 01/2010 |
| 206 | LÝ SANH | Sứ giả ẩm thực Việt Nam | 04/2014 | Cần rà soát GAB | 04/2014 |
| 206 | LÝ SANH | Đón nhận Đĩa vàng Viện Nội dung Kỷ lục Thế giới (WRCA) | 08/2018 | Cần rà soát GAB | 08/2018 |
| 206 | LÝ SANH | Chủ tịch Hội đầu Bếp Chuyên nghiệp Sài Gòn | 05/2009 | Cần rà soát GAB | 05/2009 |
| 207 | MAI ĐÌNH TỚI | Đón nhận Đĩa vàng từ Viện Kỷ lục Thế giới (WorldMark) | 05/2023 | Cần rà soát GAB | 05/2023 |
| 207 | MAI ĐÌNH TỚI | Xác lập Kỷ lục châu Á "Nghệ sĩ có nhiều nhạc cụ tự chế nhất" | 10/2012 | Cần rà soát GAB | 10/2012 |
| 207 | MAI ĐÌNH TỚI | Xác lập Kỷ lục Thế giới "Nghệ sĩ sáng tạo và biểu diễn nhiều loại nhạc cụ tự chế độc đáo nhất" | 06/2019 | Cần rà soát GAB | 06/2019 |
| 207 | MAI ĐÌNH TỚI | Xác lập Kỷ lục Việt Nam "Tổ hợp sân khấu - dàn nhạc bằng ống nhựa lớn nhất (đồng sở hữu)" | 08/2008 | Cần rà soát GAB | 08/2008 |
| 208 | MAI QUYỀN LINH | Xác lập kỷ lục Việt Nam là là Nghệ sĩ nấu nhiều món ăn nhất trên truyền hình | 06/2023 | Cần rà soát GAB | 06/2023 |
| 209 | MAI TUẤN LINH | Tiến sĩ danh dự của Đại học Kỷ lục Thế giới (WRU) | 02/2022 | Cần rà soát GAB | 02/2022 |
| 209 | MAI TUẤN LINH | Xác lập Kỷ lục Việt Nam "Người đề xuất ý tưởng và phối hợp tổ chức thực hiện các chương trình Đo loãng xương – Tư vấn miễn phí cho phụ nữ tại các tỉnh, thành của Việt Nam nhiều nhất (trong 02 năm 2008 – 2009)" | 02/2022 | Cần rà soát GAB | 02/2022 |
